company_name,city,Number_of_employees,projects_pudget,url
Varfix,"Toronto, Canada",2 - 9 ,"1,000",https://varfix.ai/?utm_campaign=directory&utm_medium=referral&utm_source=themanifest.com
Advanced Analytics and Research Lab,"Toronto, Canada",2 - 9 ,"5,000",http://www.aaarl.ca?utm_campaign=directory&utm_medium=referral&utm_source=themanifest.com
Welby Consulting,"Calgary, Canada",2 - 9 ,"5,000",https://welbyconsulting.com/?utm_campaign=directory&utm_medium=referral&utm_source=themanifest.com
Explorai,"Longueuil, Canada",10 - 49 ,"5,000",https://explor.ai?utm_campaign=directory&utm_medium=referral&utm_source=themanifest.com
Palaemon Systems Inc.,"Pickering, Canada",10 - 49 ,"1,000",https://palaemonsystems.com/contact-us/?utm_campaign=directory&utm_medium=referral&utm_source=themanifest.com
TackV,"Québec, Canada",2 - 9 ,"5,000",https://www.tackv.ca/?utm_campaign=directory&utm_medium=referral&utm_source=themanifest.com
Iteration Insights,"Calgary, Canada",10 - 49 ,"1,000",https://www.iterationinsights.com/contact-us?utm_campaign=directory&utm_medium=referral&utm_source=themanifest.com
CakeAI,"Toronto, Canada",10 - 49 ,Undisclosed,http://www.cakeai.com?utm_campaign=directory&utm_medium=referral&utm_source=themanifest.com
Repustate Inc.,"Toronto, Canada",10 - 49 ,Undisclosed,https://www.repustate.com?utm_campaign=directory&utm_medium=referral&utm_source=themanifest.com
Mnubo,"Mont-Royal, Canada",50 - 249 ,"10,000",https://mnubo.com/?utm_campaign=directory&utm_medium=referral&utm_source=themanifest.com
autoverse.tech,"Calgary, Canada",10 - 49 ,"250,000",http://autoverse.tech?utm_campaign=directory&utm_medium=referral&utm_source=themanifest.com
Illumiti,"Markham, Canada",50 - 249 ,"5,000",http://illumiti.com/?utm_campaign=directory&utm_medium=referral&utm_source=themanifest.com
Dapasoft,"Toronto, Canada",50 - 249 ,"25,000",http://dapasoft.com/?utm_campaign=directory&utm_medium=referral&utm_source=themanifest.com
Kick Point,"Edmonton, Canada",10 - 49 ,Undisclosed,https://kickpoint.ca/?utm_campaign=directory&utm_medium=referral&utm_source=themanifest.com
SysEne Consulting Inc.,"Vancouver, Canada",2 - 9 ,Undisclosed,http://sysene.com?utm_campaign=directory&utm_medium=referral&utm_source=themanifest.com
SOFTEL Communications,"Montréal, Canada",10 - 49 ,"5,000",http://www.softel.com?utm_campaign=directory&utm_medium=referral&utm_source=themanifest.com
Functional Imperative,"Toronto, Canada",10 - 49 ,"25,000",http://www.functionalimperative.com/?utm_campaign=directory&utm_medium=referral&utm_source=themanifest.com
Access Group Inc.,"Toronto, Canada",2 - 9 ,"1,000",https://www.access.on.ca/?utm_campaign=directory&utm_medium=referral&utm_source=themanifest.com
Connex Telecommunications Inc.,"Richmond Hill, Canada",250 - 999 ,Undisclosed,https://www.connexservice.ca/?utm_campaign=directory&utm_medium=referral&utm_source=themanifest.com
Create Simple inc.,"Edmonton, Canada",10 - 49 ,Undisclosed,https://www.createsimple.com/?utm_campaign=directory&utm_medium=referral&utm_source=themanifest.com
Allsite IT,"Vancouver, Canada",10 - 49 ,"5,000",https://allsiteit.com/contact-us/?utm_campaign=directory&utm_medium=referral&utm_source=themanifest.com
Visionstate Inc,"Edmonton, Canada",2 - 9 ,Undisclosed,https://www.visionstate.com/?utm_campaign=directory&utm_medium=referral&utm_source=themanifest.com
The Jonah Group,"Toronto, Canada",50 - 249 ,"10,000",https://www.jonahgroup.com/?utm_campaign=directory&utm_medium=referral&utm_source=themanifest.com
Bow River Solutions Inc.,"Calgary, Canada",2 - 9 ,"1,000",http://www.BowRiverSolutions.com?utm_campaign=directory&utm_medium=referral&utm_source=themanifest.com
Answer Intelligence,"Vancouver, Canada",10 - 49 ,"25,000",https://answerintelligence.com?utm_campaign=directory&utm_medium=referral&utm_source=themanifest.com
ProLytics Consulting Group,"Markham, Canada",10 - 49 ,"5,000",https://www.prolyticsgroup.com?utm_campaign=directory&utm_medium=referral&utm_source=themanifest.com
Aplus IT Solutions Ltd,"Edmonton, Canada",2 - 9 ,Undisclosed,http://aplusit.ca/home.html?utm_campaign=directory&utm_medium=referral&utm_source=themanifest.com
Devinity Corp.,"Toronto, Canada",10 - 49 ,"5,000",https://devinity.io?utm_campaign=directory&utm_medium=referral&utm_source=themanifest.com
solūt,"Edmonton, Canada",50 - 249 ,"1,000",https://www.solut.ca/?utm_campaign=directory&utm_medium=referral&utm_source=themanifest.com
"DecisivEdge, LLC","Markham, Canada",50 - 249 ,Undisclosed,https://www.decisivedge.com/?utm_campaign=directory&utm_medium=referral&utm_source=themanifest.com
Acies Decisions,"Surrey, Canada",2 - 9 ,"50,000",http://www.aciesdecisions.com?utm_campaign=directory&utm_medium=referral&utm_source=themanifest.com
SensoAI Systems,"Vancouver, Canada",2 - 9 ,Undisclosed,http://sensoai.com?utm_campaign=directory&utm_medium=referral&utm_source=themanifest.com
Optability Inc,"Whitby, Canada",2 - 9 ,"1,000",http://www.optability.com?utm_campaign=directory&utm_medium=referral&utm_source=themanifest.com
Vivid Theory,"Calgary, Canada",10 - 49 ,Undisclosed,https://vividtheory.com/?utm_campaign=directory&utm_medium=referral&utm_source=themanifest.com
ApiScrapy,"Bedford, Canada",50 - 249 ,"1,000",https://apiscrapy.com/?utm_campaign=directory&utm_medium=referral&utm_source=themanifest.com
Punchcard Systems,"Edmonton, Canada",10 - 49 ,Undisclosed,https://punchcard.io/?utm_campaign=directory&utm_medium=referral&utm_source=themanifest.com
ShookIOT,"Edmonton, Canada",10 - 49 ,Undisclosed,https://www.shookiot.com?utm_campaign=directory&utm_medium=referral&utm_source=themanifest.com
Systema Solutions Inc.,"Calgary, Canada",10 - 49 ,"10,000",https://www.systemasolutions.ca/?utm_campaign=directory&utm_medium=referral&utm_source=themanifest.com
Pulse Tech Corp,"Brampton, Canada",10 - 49 ,Undisclosed,https://pulsetech.ca/?utm_campaign=directory&utm_medium=referral&utm_source=themanifest.com
Manta Innovations Ltd,"Vancouver, Canada",2 - 9 ,"5,000",https://manta-innovations.co.uk/?utm_campaign=directory&utm_medium=referral&utm_source=themanifest.com
Green Bee 3,"Vaughan, Canada",2 - 9 ,"1,000",https://www.greenbee3.com?utm_campaign=directory&utm_medium=referral&utm_source=themanifest.com
ThirdEye Data,"Montréal, Canada",50 - 249 ,"10,000",https://thirdeyedata.io/?utm_campaign=directory&utm_medium=referral&utm_source=themanifest.com
Fusionpact Technologies Inc,"Charlottetown, Canada",50 - 249 ,"250,000",https://www.fusionpact.com?utm_campaign=directory&utm_medium=referral&utm_source=themanifest.com
Optimizia,"Milton, Canada",10 - 49 ,"5,000",http://Optimizia.co?utm_campaign=directory&utm_medium=referral&utm_source=themanifest.com
Darkhorse Analytics,"Edmonton, Canada",10 - 49 ,"5,000",https://www.darkhorseanalytics.com/?utm_campaign=directory&utm_medium=referral&utm_source=themanifest.com
noBSdigital,"Aurora, Canada",Freelancer ,"1,000",http://nobs.digital?utm_campaign=directory&utm_medium=referral&utm_source=themanifest.com
MNI System,"Burnaby, Canada",10 - 49 ,"1,000",https://mnisystem.ca/?utm_campaign=directory&utm_medium=referral&utm_source=themanifest.com
Teskostudio IT Support,"Toronto, Canada",50 - 249 ,Undisclosed,http://www.teskostudio.com/?utm_campaign=directory&utm_medium=referral&utm_source=themanifest.com
ValueHire Corporation,"Whitby, Canada",2 - 9 ,"50,000",https://www.valuehirecorp.com?utm_campaign=directory&utm_medium=referral&utm_source=themanifest.com
Eight Leaves Media,"Edmonton, Canada",10 - 49 ,"5,000",https://www.eightleaves.com/?utm_campaign=directory&utm_medium=referral&utm_source=themanifest.com
Computation Ltd,"Toronto, Canada",2 - 9 ,Undisclosed,https://www.computation.ca/?utm_campaign=directory&utm_medium=referral&utm_source=themanifest.com
Symtrex Inc.,"Toronto, Canada",2 - 9 ,Undisclosed,https://symtrex.com/?utm_campaign=directory&utm_medium=referral&utm_source=themanifest.com
James R. Elliot,"Toronto, Canada",2 - 9 ,Undisclosed,https://www.unleashyourpower.com/?utm_campaign=directory&utm_medium=referral&utm_source=themanifest.com
Cornerstone Technology,"Toronto, Canada",2 - 9 ,Undisclosed,https://www.cornerstonetech.ca/?utm_campaign=directory&utm_medium=referral&utm_source=themanifest.com
Orès Data Science,"Montréal, Canada",2 - 9 ,Undisclosed,http://oresdatascience.com?utm_campaign=directory&utm_medium=referral&utm_source=themanifest.com
Tangerine Software Inc,"Montréal, Canada",50 - 249 ,Undisclosed,https://www.morpho.com/?utm_campaign=directory&utm_medium=referral&utm_source=themanifest.com
Silvr Lining Group - A Spaulding Ridge Company,"Toronto, Canada",250 - 999 ,Undisclosed,https://www.spauldingridge.com/?utm_campaign=directory&utm_medium=referral&utm_source=themanifest.com
Arcurve Inc.,"Calgary, Canada",50 - 249 ,Undisclosed,http://www.arcurve.com?utm_campaign=directory&utm_medium=referral&utm_source=themanifest.com
BluuData Labs,"Surrey, Canada",2 - 9 ,"25,000",https://bluudata.com?utm_campaign=directory&utm_medium=referral&utm_source=themanifest.com
Electric Brain,"Toronto, Canada",2 - 9 ,Undisclosed,https://www.electricbrain.io/?utm_campaign=directory&utm_medium=referral&utm_source=themanifest.com
Arocom IT Solutions Pvt Ltd,"Vaughan, Canada",2 - 9 ,"100,000",http://www.arocominc.com?utm_campaign=directory&utm_medium=referral&utm_source=themanifest.com
Synergo Group,"Toronto, Canada",10 - 49 ,"5,000",https://www.synergogroup.net/?utm_campaign=directory&utm_medium=referral&utm_source=themanifest.com
IntellEcomm Management Consultants Inc,"Toronto, Canada",2 - 9 ,Undisclosed,http://intellecomm.ca?utm_campaign=directory&utm_medium=referral&utm_source=themanifest.com
C3 Insight Group Inc.,"Toronto, Canada",2 - 9 ,Undisclosed,http://c3-inc.com?utm_campaign=directory&utm_medium=referral&utm_source=themanifest.com
Keyrus,"Toronto, Canada","1,000 - 9,999 ","25,000",http://www.keyrus.com?utm_campaign=directory&utm_medium=referral&utm_source=themanifest.com
Base2Industries,"Edmonton, Canada",Freelancer ,Undisclosed,http://www.base2industries.com/?utm_campaign=directory&utm_medium=referral&utm_source=themanifest.com
Semper IT Inc,"Calgary, Canada",10 - 49 ,Undisclosed,https://semper-it.com/?utm_campaign=directory&utm_medium=referral&utm_source=themanifest.com
Lochbridge,"Montréal, Canada",250 - 999 ,"25,000",http://lochbridge.com/?utm_campaign=directory&utm_medium=referral&utm_source=themanifest.com
Island 20 Ventures Inc,"Toronto, Canada",2 - 9 ,Undisclosed,http://island20ventures.com?utm_campaign=directory&utm_medium=referral&utm_source=themanifest.com
Core Business,"Montreal, Canada",2 - 9 ,Undisclosed,http://corebconsulting.com?utm_campaign=directory&utm_medium=referral&utm_source=themanifest.com
ELITEC Consulting,"Toronto, Canada",Freelancer ,"1,000",http://elitec.ca?utm_campaign=directory&utm_medium=referral&utm_source=themanifest.com
NorthBay Solutions,"Dartmouth, Canada",250 - 999 ,Undisclosed,http://www.northbaysolutions.com?utm_campaign=directory&utm_medium=referral&utm_source=themanifest.com
Ekohe,"Vancouver, Canada",10 - 49 ,"10,000",https://ekohe.com/contact?utm_campaign=directory&utm_medium=referral&utm_source=themanifest.com
Lovelytics,"Toronto, Canada",50 - 249 ,Undisclosed,https://lovelytics.com/?utm_campaign=directory&utm_medium=referral&utm_source=themanifest.com
Sedin Technologies,"Fredericton, Canada",250 - 999 ,"10,000",https://sedintechnologies.com?utm_campaign=directory&utm_medium=referral&utm_source=themanifest.com
Wavicle Data Solutions,"Montreal, Canada",250 - 999 ,"75,000",https://wavicledata.com?utm_campaign=directory&utm_medium=referral&utm_source=themanifest.com
Emtec Inc.,"Ottawa, Canada",250 - 999 ,Undisclosed,http://www.emtecinc.com/?utm_campaign=directory&utm_medium=referral&utm_source=themanifest.com
Heinsohn Business Technology,"Toronto, Canada",250 - 999 ,"25,000",https://www.ca.heinsohn.co/?utm_campaign=directory&utm_medium=referral&utm_source=themanifest.com
Acom Digital,"Vancouver, Canada",50 - 249 ,"5,000",https://acomdigital.com?utm_campaign=directory&utm_medium=referral&utm_source=themanifest.com
TechGenies,"Pickering, Canada",50 - 249 ,Undisclosed,https://techgenies.com/?utm_campaign=directory&utm_medium=referral&utm_source=themanifest.com
Sigma Software Group,"Montreal, Canada","1,000 - 9,999 ","50,000",https://sigma.software/?utm_campaign=directory&utm_medium=referral&utm_source=themanifest.com#utm_source=clutch.co
Trantor Inc.,"Vancouver, Canada","1,000 - 9,999 ","10,000",https://www.trantorinc.com/?utm_campaign=directory&utm_medium=referral&utm_source=themanifest.com
Positive Thinking Company,"Toronto, Canada","1,000 - 9,999 ","10,000",https://positivethinking.tech/?utm_campaign=directory&utm_medium=referral&utm_source=themanifest.com
Improving,"Calgary, Canada","1,000 - 9,999 ","10,000",http://www.improving.com/?utm_campaign=directory&utm_medium=referral&utm_source=themanifest.com
ITDM Group,"Montréal, Canada",50 - 249 ,"5,000",https://www.itdm-group.com?utm_campaign=directory&utm_medium=referral&utm_source=themanifest.com
"SpringML, Inc.","Toronto, Canada",250 - 999 ,Undisclosed,https://www.springml.com/?utm_campaign=directory&utm_medium=referral&utm_source=themanifest.com
Nous Infosystems,"Mississauga, Canada","1,000 - 9,999 ",Undisclosed,https://www.nousinfosystems.com?utm_campaign=directory&utm_medium=referral&utm_source=themanifest.com
